MTU,Out Area,In Area,Physical Flow (MW)
02/10/2021,LV,EE,0.0
02/10/2021,LV,LT,6296.0
02/10/2022,EE,LV,13792.6
02/10/2022,LT,LV,31.0
02/10/2022,LV,EE,0.0
02/10/2022,LV,LT,3782.5
02/10/2023,EE,LV,3812.7
02/10/2023,LT,LV,4326.0
02/10/2023,LV,EE,434.1
02/10/2023,LV,LT,181.5
02/10/2024,EE,LV,3116.7
02/10/2024,LT,LV,6266.0
02/10/2024,LV,EE,1398.55
02/10/2024,LV,LT,425.0
02/11/2021,EE,LV,8367.15
02/11/2021,LT,LV,1703.5
02/11/2021,LV,EE,0.0
02/11/2021,LV,LT,3165.0
02/11/2022,EE,LV,10549.1
02/11/2022,LT,LV,988.5
02/11/2022,LV,EE,0.0
02/11/2022,LV,LT,1138.5
02/11/2023,EE,LV,4882.85
02/11/2023,LT,LV,7660.0
02/11/2023,LV,EE,0.0
02/11/2023,LV,LT,0.0
02/11/2024,EE,LV,6302.25
02/11/2024,LT,LV,7062.0
02/11/2024,LV,EE,0.0
02/11/2024,LV,LT,0.0
02/12/2021,EE,LV,51.7
02/12/2021,LT,LV,8220.0
02/12/2021,LV,EE,3345.95
02/12/2021,LV,LT,74.0
02/12/2022,EE,LV,3620.55
02/12/2022,LT,LV,94.5
02/12/2022,LV,EE,155.25
02/12/2022,LV,LT,6695.0
02/12/2023,EE,LV,4100.05
02/12/2023,LT,LV,86.5
02/12/2023,LV,EE,0.0
02/12/2023,LV,LT,5171.0
02/12/2024,EE,LV,12349.35
02/12/2024,LT,LV,1111.14
02/12/2024,LV,EE,0.0
02/12/2024,LV,LT,1911.42
03/01/2021,EE,LV,8247.8
03/01/2021,LT,LV,1163.0
03/01/2021,LV,EE,0.0
03/01/2021,LV,LT,557.0
03/01/2022,EE,LV,2776.25
03/01/2022,LT,LV,10426.5
03/01/2022,LV,EE,291.45
03/01/2022,LV,LT,0.0
03/01/2023,EE,LV,1019.75
03/01/2023,LT,LV,0.0
03/01/2023,LV,EE,381.7
03/01/2023,LV,LT,7436.0
03/01/2024,EE,LV,0.0
03/01/2024,LT,LV,12953.5
03/01/2024,LV,EE,18284.65
03/01/2024,LV,LT,0.0
03/02/2021,EE,LV,4683.45
03/02/2021,LT,LV,0.0
03/02/2021,LV,EE,0.0
03/02/2021,LV,LT,8532.0
03/02/2022,EE,LV,138.45
03/02/2022,LT,LV,2638.0
03/02/2022,LV,EE,4809.9
03/02/2022,LV,LT,1064.0
03/02/2023,EE,LV,3003.5
03/02/2023,LT,LV,0.0
03/02/2023,LV,EE,0.0
03/02/2023,LV,LT,9839.0
03/02/2024,EE,LV,0.0
03/02/2024,LT,LV,8744.5
03/02/2024,LV,EE,5308.0
03/02/2024,LV,LT,0.0
03/03/2021,EE,LV,6731.8
03/03/2021,LT,LV,0.0
03/03/2021,LV,EE,0.0
03/03/2021,LV,LT,13868.5
03/03/2022,EE,LV,13279.45
03/03/2022,LT,LV,0.0
03/03/2022,LV,EE,0.0
03/03/2022,LV,LT,14873.5
03/03/2023,EE,LV,7482.0
03/03/2023,LT,LV,0.0
03/03/2023,LV,EE,0.0
03/03/2023,LV,LT,13259.5
03/03/2024,EE,LV,0.0
03/03/2024,LT,LV,288.5
03/03/2024,LV,EE,13930.15
03/03/2024,LV,LT,5475.0
03/04/2021,EE,LV,4955.25
03/04/2021,LT,LV,0.0
03/04/2021,LV,EE,143.0
03/04/2021,LV,LT,11719.5
03/04/2022,EE,LV,8539.25
03/04/2022,LT,LV,0.0
03/04/2022,LV,EE,0.0
03/04/2022,LV,LT,9927.0
03/04/2023,EE,LV,1033.85
03/04/2023,LT,LV,0.0
03/04/2023,LV,EE,629.65
03/04/2023,LV,LT,17978.0
03/04/2024,EE,LV,0.0
03/04/2024,LT,LV,515.0
03/04/2024,LV,EE,4382.85
03/04/2024,LV,LT,1787.0
03/05/2021,EE,LV,3985.65
03/05/2021,LT,LV,690.0
03/05/2021,LV,EE,26.65
03/05/2021,LV,LT,2361.0
03/05/2022,EE,LV,11449.7
03/05/2022,LT,LV,0.0
03/05/2022,LV,EE,0.0
03/05/2022,LV,LT,10725.0
03/05/2023,EE,LV,9732.1
03/05/2023,LT,LV,0.0
03/05/2023,LV,EE,0.0
03/05/2023,LV,LT,9604.0
03/05/2024,EE,LV,0.0
03/05/2024,LT,LV,536.0
03/05/2024,LV,EE,7350.5
03/05/2024,LV,LT,2338.0
03/06/2021,EE,LV,12042.8
03/06/2021,LT,LV,70.5
03/06/2021,LV,EE,0.0
03/06/2021,LV,LT,6572.0
03/06/2022,EE,LV,14954.05
03/06/2022,LT,LV,0.0
03/06/2022,LV,EE,0.0
03/06/2022,LV,LT,9280.0
03/06/2023,EE,LV,10068.6
03/06/2023,LT,LV,724.0
03/06/2023,LV,EE,0.0
03/06/2023,LV,LT,2747.0
03/06/2024,EE,LV,0.0
03/06/2024,LT,LV,15227.0
03/06/2024,LV,EE,4666.1
03/06/2024,LV,LT,0.0
03/07/2021,EE,LV,9186.05
03/07/2021,LT,LV,4444.0
03/07/2021,LV,EE,0.0
03/07/2021,LV,LT,1015.0
03/07/2022,EE,LV,12078.25
03/07/2022,LT,LV,11.5
03/07/2022,LV,EE,0.0
03/07/2022,LV,LT,3471.5
03/07/2023,EE,LV,8032.7
03/07/2023,LT,LV,2180.5
03/07/2023,LV,EE,0.0
03/07/2023,LV,LT,1567.0
03/07/2024,EE,LV,735.05
03/07/2024,LT,LV,10156.5
03/07/2024,LV,EE,230.6
03/07/2024,LV,LT,0.0
03/08/2021,EE,LV,15988.05
03/08/2021,LT,LV,0.0
03/08/2021,LV,EE,0.0
03/08/2021,LV,LT,6317.5
03/08/2022,EE,LV,14524.25
03/08/2022,LT,LV,0.0
03/08/2022,LV,EE,0.0
03/08/2022,LV,LT,5927.0
03/08/2023,EE,LV,8379.75
03/08/2023,LT,LV,4226.0
03/08/2023,LV,EE,0.0
03/08/2023,LV,LT,396.0
03/08/2024,EE,LV,4502.25
03/08/2024,LT,LV,4069.5
03/08/2024,LV,EE,0.0
03/08/2024,LV,LT,0.0
03/09/2021,EE,LV,19296.85
03/09/2021,LT,LV,0.0
03/09/2021,LV,EE,0.0
